,Unnamed: 0,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
61,61,62,Bolivia,5.752000000000002,0.7509999999999999,1.223,,0.606,0.141,0.054000000000000006,2018
62,62,63,Estonia,5.739,1.2,1.5319999999999998,,0.5529999999999999,0.086,0.174,2018
63,63,64,Paraguay,5.681,0.835,1.5219999999999998,,0.541,0.162,0.07400000000000001,2018
64,64,65,Peru,5.6629999999999985,0.934,1.249,,0.53,0.092,0.034,2018
65,65,66,Kosovo,5.662000000000001,0.855,1.23,,0.448,0.274,0.023,2018
66,66,67,Moldova,5.64,0.657,1.301,,0.232,0.171,0.0,2018
67,67,68,Turkmenistan,5.636,1.016,1.533,,0.417,0.199,0.037000000000000005,2018
68,68,69,Hungary,5.62,1.171,1.401,,0.259,0.061,0.022,2018
69,69,70,Libya,5.566,0.985,1.35,,0.496,0.116,0.14800000000000002,2018
70,70,71,Philippines,5.524,0.775,1.3119999999999998,,0.643,0.12,0.105,2018
71,71,72,Honduras,5.504,0.62,1.205,,0.459,0.197,0.07400000000000001,2018
72,72,73,Belarus,5.483,1.039,1.4980000000000002,,0.307,0.101,0.154,2018
73,73,74,Turkey,5.483,1.148,1.38,,0.324,0.106,0.109,2018
74,74,75,Pakistan,5.472,0.652,0.81,,0.334,0.21600000000000005,0.113,2018
75,75,76,Hong Kong,5.43,1.405,1.29,,0.524,0.246,0.29100000000000004,2018
76,76,77,Portugal,5.41,1.188,1.429,,0.562,0.055,0.017,2018
77,77,78,Serbia,5.398,0.975,1.369,,0.28800000000000003,0.134,0.043,2018
78,78,79,Greece,5.358,1.154,1.202,,0.131,0.0,0.044,2018
79,79,80,Lebanon,5.358,0.965,1.179,,0.503,0.214,0.136,2018
80,80,81,Montenegro,5.347,1.017,1.279,,0.259,0.111,0.081,2018
81,81,82,Croatia,5.3210000000000015,1.115,1.161,,0.38,0.12,0.039,2018
82,82,83,Dominican Republic,5.3020000000000005,0.982,1.4409999999999998,,0.578,0.12,0.106,2018
83,83,84,Algeria,5.295,0.979,1.154,,0.077,0.055,0.135,2018
84,84,85,Morocco,5.254,0.779,0.797,,0.46,0.026,0.07400000000000001,2018
85,85,86,China,5.246,0.989,1.142,,0.597,0.029,0.103,2018
86,86,87,Azerbaijan,5.2010000000000005,1.024,1.161,,0.43,0.031,0.17600000000000002,2018
87,87,88,Tajikistan,5.199,0.474,1.166,,0.292,0.187,0.034,2018
88,88,89,Macedonia,5.185,0.959,1.239,,0.394,0.173,0.052000000000000005,2018
89,89,90,Jordan,5.1610000000000005,0.8220000000000001,1.265,,0.468,0.13,0.134,2018
